Metric,Low,High,accuracy,macro avg,weighted avg,roc_auc
precision,0.3170731707317073,0.4794520547945205,0.42105263157894735,0.3982626127631139,0.40680886981905146,0.44351073762838467
recall,0.2549019607843137,0.5555555555555556,0.42105263157894735,0.40522875816993464,0.42105263157894735,0.44351073762838467
f1-score,0.2826086956521739,0.5147058823529411,0.42105263157894735,0.3986572890025575,0.41087293040786105,0.44351073762838467
support,51.0,63.0,0.42105263157894735,114.0,114.0,0.44351073762838467
